Time,Mag,Error
49733.312384,-5.813,0.066
49737.534097,-5.744,0.079
49741.410208,-5.695,0.042
49745.454896,-5.778,0.04
49747.415926,-5.748,0.037
49748.426840,-5.725,0.047
49749.521771,-5.693,0.038
49751.323241,-5.725,0.034
49752.451991,-5.848,0.041
49752.475220,-5.742,0.033
49754.334005,-5.736,0.045
49755.440856,-5.711,0.029
49756.492998,-5.756,0.092
49759.376956,-5.742,0.034
49760.549352,-5.687,0.067
49762.367303,-5.665,0.056
49764.507234,-5.79,0.073
49767.405764,-5.615,0.117
49784.308148,-5.739,0.044
49786.487535,-5.642,0.093
49788.384213,-5.626,0.12
49790.288113,-5.681,0.06
49791.485926,-5.591,0.209
49795.287315,-5.68,0.054
49797.315440,-5.68,0.033
49799.274514,-5.707,0.024
49800.365278,-5.695,0.045
49801.307037,-5.677,0.048
49802.450104,-5.628,0.084
49804.274873,-5.304,0.124
49806.281725,-5.687,0.052
49808.278310,-5.698,0.031
49810.343252,-5.656,0.038
49815.395023,-5.397,0.408
49819.332002,-5.664,0.167
49824.309456,-5.786,0.098
49826.341875,-5.612,0.066
49828.396678,-5.663,0.042
49831.306539,-5.68,0.05
49835.361377,-5.703,0.038
49842.346609,-5.69,0.078
49852.263171,-5.632,0.061
49856.316678,-5.545,0.063
49858.303206,-5.601,0.053
49862.267813,-5.657,0.104
49864.275972,-5.789,0.14
49866.223993,-5.569,0.03
49868.322037,-5.663,0.481
49872.284549,-5.597,0.049
49875.216875,-5.62,0.105
49880.230046,-5.525,0.263
49885.243588,-5.066,0.439
49887.219745,-5.592,0.068
49889.207257,-5.535,0.074
49891.215289,-5.596,0.037
49895.207396,-5.535,0.055
49902.216030,-5.633,0.154
49905.657639,-5.648,0.048
49907.651308,-5.626,0.051
49912.659861,-5.673,0.231
49917.625845,-5.597,0.056
49921.567593,-5.651,0.041
49927.484410,-5.607,0.079
49929.573252,-5.535,0.092
49931.642292,-5.557,0.078
49933.481840,-5.612,0.047
49935.596481,-5.64,0.083
49936.584340,-5.51,0.078
49937.599306,-5.887,0.348
49938.470266,-5.617,0.161
49939.497604,-5.576,0.068
49940.635405,-5.485,0.081
49941.478553,-5.537,0.081
49942.551262,-5.63,0.051
49943.544178,-5.489,0.06
49944.567338,-5.574,0.085
49945.556366,-5.641,0.097
49946.635775,-5.456,0.092
49948.585486,-5.553,0.186
49949.442708,-5.572,0.065
49951.462870,-5.654,0.092
49952.543576,-5.597,0.035
49953.460660,-5.652,0.05
49954.548368,-5.401,0.115
49955.635197,-5.547,0.099
49957.412789,-5.547,0.037
49961.426192,-5.5,0.06
49963.607963,-5.507,0.081
49965.471725,-5.66,0.18
49966.524433,-5.483,0.071
49967.515556,-5.549,0.057
49970.382280,-5.497,0.098
49972.395799,-5.552,0.044
49974.598472,-5.501,0.034
49980.423438,-5.477,0.091
49982.358333,-5.57,0.047
49987.369005,-5.527,0.054
49994.398252,-5.551,0.055
49994.604433,-5.517,0.052
49996.432188,-5.547,0.063
49997.488958,-5.446,0.14
49998.512569,-5.414,0.079
50003.447211,-5.564,0.071
50005.427593,-5.541,0.033
50006.413681,-5.565,0.037
50007.495683,-5.51,0.077
50013.380833,-5.539,0.049
50019.498877,-5.482,0.056
50021.441053,-5.476,0.055
50022.473785,-5.427,0.116
50029.316979,-5.604,0.165
50031.428819,-5.664,0.176
50036.318681,-5.42,0.026
50038.393090,-5.469,0.023
50038.519942,-5.522,0.031
50045.377940,-5.561,0.04
50046.363287,-5.483,0.101
50047.438472,-5.51,0.067
50048.417894,-5.148,0.251
50048.456458,-5.546,0.035
50054.477269,-5.515,0.039
50057.343785,-5.653,0.095
50058.354792,-5.523,0.069
50061.353345,-5.486,0.072
50063.323796,-5.512,0.057
50066.357002,-5.445,0.041
50071.293333,-5.448,0.025
50072.355810,-5.491,0.056
50074.325081,-5.436,0.099
50077.396597,-5.417,0.039
50078.531088,-5.375,0.106
50086.484826,-5.424,0.103
50088.339514,-5.494,0.037
50089.333461,-5.502,0.038
50091.365718,-5.431,0.05
50095.359410,-5.465,0.035
50099.472975,-5.47,0.052
50101.413113,-5.512,0.025
50105.337558,-5.577,0.149
50105.369352,-5.406,0.092
50107.374294,-5.502,0.032
50108.370532,-5.487,0.029
50123.321875,-5.472,0.051
50125.531053,-4.754,0.778
50126.354896,-5.493,0.041
50127.356979,-5.565,0.034
50128.367222,-5.501,0.038
50131.340671,-5.45,0.045
50132.263912,-5.468,0.054
50134.254225,-5.451,0.093
50135.316806,-5.537,0.139
50138.411412,-5.507,0.043
50141.280532,-5.514,0.04
50143.349468,-5.504,0.052
50145.305266,-5.464,0.084
50151.293796,-5.497,0.046
50154.240845,-5.471,0.027
50155.351019,-5.515,0.033
50157.310451,-5.539,0.039
50159.337639,-5.421,0.081
50161.365197,-5.454,0.052
50168.435567,-5.4,0.067
50172.312546,-4.547,0.859
50173.395475,-5.585,0.133
50174.292326,-4.973,0.269
50176.426852,-4.396,1.924
50178.258414,-5.402,0.073
50181.328079,-5.436,0.061
50185.283738,-5.452,0.074
50186.380104,-5.25,0.108
50188.279317,-5.38,0.082
50192.258044,-5.473,0.038
50193.362338,-5.506,0.049
50196.313542,-5.392,0.217
50197.372106,-5.587,0.063
50198.404780,-5.512,0.117
50200.283380,-5.573,0.169
50201.294201,-5.517,0.058
50206.262755,-5.521,0.096
50210.331794,-5.259,0.448
50212.246030,-5.509,0.054
50214.271331,-5.612,0.1
50216.250104,-5.542,0.066
50218.213032,-5.539,0.032
50219.249757,-5.474,0.044
50223.305266,-5.424,0.071
50224.248715,-5.496,0.062
50225.333032,-5.122,0.345
50227.216377,-5.461,0.052
50228.315475,-5.511,0.047
50230.291204,-6.01,0.601
50232.215023,-5.558,0.04
50234.225937,-5.508,0.075
50236.228692,-5.536,0.086
50238.302766,-5.537,0.143
50241.276944,-5.357,0.117
50243.215718,-5.557,0.045
50245.207859,-5.494,0.048
50247.221424,-5.564,0.053
50254.210984,-5.553,0.067
50255.205093,-5.536,0.042
50258.249838,-5.564,0.14
50263.620220,-5.626,0.077
50267.216204,-5.484,0.037
50271.597766,-5.527,0.07
50276.599873,-5.58,0.037
50278.544630,-5.587,0.07
50288.625799,-5.618,0.045
50293.594178,-5.524,0.167
50296.600532,-5.526,0.159
50297.648553,-5.557,0.063
50300.499144,-5.522,0.188
50301.654120,-5.601,0.047
50302.507500,-5.501,0.073
50303.658403,-5.432,0.08
50304.553299,-5.581,0.051
50306.637350,-5.531,0.057
50307.488275,-5.631,0.063
50308.566574,-5.617,0.085
50310.609572,-5.606,0.05
50311.565081,-5.572,0.069
50315.536470,-5.606,0.032
50319.626829,-5.564,0.041
50322.469572,-5.456,0.211
50327.590000,-5.371,0.094
50329.603194,-5.491,0.058
50333.483241,-5.663,0.07
50335.521794,-5.625,0.043
50340.623021,-5.506,0.073
50341.524086,-5.591,0.045
50348.372315,-5.722,0.126
50349.490683,-5.589,0.041
50350.453125,-5.53,0.087
50352.412338,-5.633,0.15
50353.347940,-5.583,0.096
50359.422257,-5.624,0.034
50360.449306,-5.582,0.029
50364.340347,-5.631,0.11
50366.541319,-5.617,0.076
50368.381007,-5.644,0.067
50369.402257,-5.577,0.025
50370.386111,-5.603,0.033
50371.371574,-5.603,0.027
50374.386493,-5.604,0.036
50376.366944,-5.579,0.055
50377.395116,-5.568,0.03
50379.412581,-5.587,0.032
50380.367419,-5.583,0.12
50384.400255,-5.524,0.065
50385.449433,-5.599,0.074
50389.297905,-5.651,0.04
50394.537141,-5.657,0.042
50395.378785,-5.587,0.033
50396.489410,-5.614,0.027
